"";"species";"Abrev"
"1";"Leptodactylus savagei";"Lept"
"2";"Thamnophilus atrinucha";"Tham"
"3";"Cathartes burrovianus";"Cath"
"4";"Melanerpes rubricapillus";"Mela"
"5";"Phalacrocorax brasilianus";"Phal"
"6";"Ramphocelus dimidiatus";"Ramp"
"7";"Thraupis episcopus";"Thra"
"8";"Tyrannus melancholicus";"Tyra"
"9";"Ardea cocoi";"Arde"
"10";"Cathartes aura";"Cath"
"11";"Tyrannus dominicensis";"Tyra"
"12";"Butorides virescens";"Buto"
"13";"Coragyps atratus";"Cora"
"14";"Megaceryle torquata";"Mega"
"15";"Quiscalus mexicanus";"Quis"
"16";"Bubulcus ibis";"Bubu"
"17";"Busarellus nigricollis";"Busa"
"18";"Cairina moschata";"Cair"
"19";"Cantorchilus nigricapillus";"Cant"
"20";"Egretta thula";"Egre"
"21";"Hydraena dariensis";"Hydr"
"22";"Anemopaegma chrysoleucum";"Anem"
"23";"Dolichandra unguis-cati";"Doli"
"24";"Ficus maxima";"Ficu"
"25";"Pachira aquatica";"Pach"
"26";"Gilbertolus atratoensis";"Gilb"
"27";"Potamotrygon magdalenae";"Pota"
"28";"Fluvicola pica";"Fluv"
"29";"Pandion haliaetus";"Pand"
"30";"Tyrannus savana";"Tyra"
"31";"Aramus guarauna";"Aram"
"32";"Plegadis falcinellus";"Pleg"
"33";"Buteogallus anthracinus";"Bute"
"34";"Caracara plancus";"Cara"
"35";"Thalasseus maximus";"Thal"
"36";"Phaethornis anthophilus";"Phae"
"37";"Pistia stratiotes";"Pist"
"38";"Annona glabra";"Anno"
"39";"Cymbosema roseum";"Cymb"
"40";"Dalbergia brownei";"Dalb"
"41";"Dalbergia ovalis";"Dalb"
"42";"Ficus dendrocida";"Ficu"
"43";"Hibiscus furcellatus";"Hibi"
"44";"Hiraea faginea";"Hira"
"45";"Hydrocotyle umbellata";"Hydr"
"46";"Inga oerstediana";"Inga"
"47";"Pheucticus ludovicianus";"Pheu"
"48";"Protonotaria citrea";"Prot"
"49";"Saltator coerulescens";"Salt"
"50";"Setophaga petechia";"Seto"
"51";"Sporophila funerea";"Spor"
"52";"Inga vera";"Inga"
"53";"Malouetia guatemalensis";"Malo"
"54";"Oryctanthus cordifolius";"Oryc"
"55";"Paullinia pinnata";"Paul"
"56";"Pentaclethra macroloba";"Pent"
